"metro","gcid","Category","order","Day"
"Atlanta","liquor_store","food",1,"Wednesday"
"Austin","barbecue_restaurant","food",1,"Wednesday"
"Baltimore","supermarket","food",1,"Wednesday"
"Baltimore","wine_store","food",2,"Wednesday"
"Baltimore","chinese_restaurant","food",3,"Wednesday"
"Baltimore","donut_shop","food",4,"Wednesday"
"Baltimore","grocery_store","food",5,"Wednesday"
"Bay Area","wine_store","food",1,"Wednesday"
"Bay Area","hamburger_restaurant","food",2,"Wednesday"
"Bay Area","chinese_restaurant","food",3,"Wednesday"
"Boston","chinese_restaurant","food",1,"Wednesday"
"Boston","supermarket","food",2,"Wednesday"
"Boston","brewery","food",3,"Wednesday"
"Boston","bakery","food",4,"Wednesday"
"Boston","grocery_store","food",5,"Wednesday"
"Charlotte","fast_food_restaurant","food",1,"Wednesday"
"Charlotte","grocery_store","food",2,"Wednesday"
"Chicago","sports_bar","food",1,"Wednesday"
"Chicago","chinese_restaurant","food",2,"Wednesday"
"Chicago","japanese_restaurant","food",3,"Wednesday"
"Chicago","bar_and_grill","food",4,"Wednesday"
"Chicago","pizza_restaurant","food",5,"Wednesday"
"Cleveland","supermarket","food",1,"Wednesday"
"Dallas","liquor_store","food",1,"Wednesday"
"Dallas","american_restaurant","food",2,"Wednesday"
"Dallas","sports_bar","food",3,"Wednesday"
"Dallas","indian_restaurant","food",4,"Wednesday"
"Dallas","barbecue_restaurant","food",5,"Wednesday"
"Denver","breakfast_restaurant","food",1,"Wednesday"
"Denver","grocery_store","food",2,"Wednesday"
"Detroit","bar","food",1,"Wednesday"
"Detroit","american_restaurant","food",2,"Wednesday"
"Houston","liquor_store","food",1,"Wednesday"
"Houston","barbecue_restaurant","food",2,"Wednesday"
"Houston","bar","food",3,"Wednesday"
"Houston","american_restaurant","food",4,"Wednesday"
"Los Angeles","korean_restaurant","food",1,"Wednesday"
"Los Angeles","seafood_restaurant","food",2,"Wednesday"
"Los Angeles","taiwanese_restaurant","food",3,"Wednesday"
"Los Angeles","american_restaurant","food",4,"Wednesday"
"Los Angeles","indian_restaurant","food",5,"Wednesday"
"Miami","bar","food",1,"Wednesday"
"Miami","american_restaurant","food",2,"Wednesday"
"New York","chinese_restaurant","food",1,"Wednesday"
"New York","bagel_shop","food",2,"Wednesday"
"New York","ramen_restaurant","food",3,"Wednesday"
"New York","sports_bar","food",4,"Wednesday"
"New York","irish_pub","food",5,"Wednesday"
"Orlando","supermarket","food",1,"Wednesday"
"Orlando","american_restaurant","food",2,"Wednesday"
"Philadelphia","liquor_store","food",1,"Wednesday"
"Philadelphia","produce_market","food",2,"Wednesday"
"Philadelphia","bar","food",3,"Wednesday"
"Philadelphia","american_restaurant","food",4,"Wednesday"
"Philadelphia","supermarket","food",5,"Wednesday"
"Phoenix","supermarket","food",1,"Wednesday"
"Phoenix","grocery_store","food",2,"Wednesday"
"Phoenix","hamburger_restaurant","food",3,"Wednesday"
"Portland","donut_shop","food",1,"Wednesday"
"San Diego","grocery_store","food",1,"Wednesday"
"San Diego","american_restaurant","food",2,"Wednesday"
"San Diego","bar","food",3,"Wednesday"
"San Diego","pizza_restaurant","food",4,"Wednesday"
"San Francisco","chinese_restaurant","food",1,"Wednesday"
"Seattle","chinese_restaurant","food",1,"Wednesday"
"St. Louis","bar","food",1,"Wednesday"
"St. Louis","american_restaurant","food",2,"Wednesday"
"St. Louis","pizza_restaurant","food",3,"Wednesday"
"Atlanta","liquor_store","food",1,"Thursday"
"Atlanta","grocery_store","food",2,"Thursday"
"Baltimore","bakery","food",1,"Thursday"
"Baltimore","wine_store","food",2,"Thursday"
"Bay Area","asian_grocery_store","food",1,"Thursday"
"Bay Area","chinese_restaurant","food",2,"Thursday"
"Bay Area","hamburger_restaurant","food",3,"Thursday"
"Bay Area","grocery_store","food",4,"Thursday"
"Bay Area","wine_store","food",5,"Thursday"
"Boston","chinese_restaurant","food",1,"Thursday"
"Chicago","barbecue_restaurant","food",1,"Thursday"
"Chicago","chinese_restaurant","food",2,"Thursday"
"Chicago","pizza_restaurant","food",3,"Thursday"
"Chicago","indian_restaurant","food",4,"Thursday"
"Chicago","market","food",5,"Thursday"
"Cleveland","supermarket","food",1,"Thursday"
"Dallas","american_restaurant","food",1,"Thursday"
"Dallas","bar","food",2,"Thursday"
"Dallas","supermarket","food",3,"Thursday"
"Dallas","liquor_store","food",4,"Thursday"
"Dallas","sports_bar","food",5,"Thursday"
"Denver","grocery_store","food",1,"Thursday"
"Detroit","bar","food",1,"Thursday"
"Detroit","grocery_store","food",2,"Thursday"
"Honolulu","grocery_store","food",1,"Thursday"
"Houston","barbecue_restaurant","food",1,"Thursday"
"Houston","liquor_store","food",2,"Thursday"
"Houston","american_restaurant","food",3,"Thursday"
"Houston","sports_bar","food",4,"Thursday"
"Los Angeles","barbecue_restaurant","food",1,"Thursday"
"Los Angeles","chicken_restaurant","food",2,"Thursday"
"Los Angeles","bakery","food",3,"Thursday"
"Los Angeles","health_food_store","food",4,"Thursday"
"Los Angeles","seafood_restaurant","food",5,"Thursday"
"Miami","bar","food",1,"Thursday"
"Miami","liquor_store","food",2,"Thursday"
"Miami","bakery","food",3,"Thursday"
"Miami","american_restaurant","food",4,"Thursday"
"Miami","grocery_store","food",5,"Thursday"
"Minneapolis","supermarket","food",1,"Thursday"
"New York","barbecue_restaurant","food",1,"Thursday"
"New York","chinese_restaurant","food",2,"Thursday"
"New York","pizza_delivery_service","food",3,"Thursday"
"New York","chicken_restaurant","food",4,"Thursday"
"New York","bakery","food",5,"Thursday"
"Orlando","american_restaurant","food",1,"Thursday"
"Philadelphia","produce_market","food",1,"Thursday"
"Philadelphia","liquor_store","food",2,"Thursday"
"Philadelphia","bar","food",3,"Thursday"
"Philadelphia","american_restaurant","food",4,"Thursday"
"Phoenix","supermarket","food",1,"Thursday"
"Phoenix","grocery_store","food",2,"Thursday"
"San Diego","grocery_store","food",1,"Thursday"
"San Diego","hamburger_restaurant","food",2,"Thursday"
"San Francisco","chinese_restaurant","food",1,"Thursday"
"San Francisco","grocery_store","food",2,"Thursday"
"Seattle","grocery_store","food",1,"Thursday"
"St. Louis","bar","food",1,"Thursday"
"Chicago","market","food",1,"Friday"
"Chicago","chinese_restaurant","food",2,"Friday"
"Chicago","pizza_restaurant","food",3,"Friday"
"Chicago","liquor_store","food",4,"Friday"
"Chicago","indian_restaurant","food",5,"Friday"
"Dallas","bar","food",1,"Friday"
"Dallas","hamburger_restaurant","food",2,"Friday"
"Dallas","bar_and_grill","food",3,"Friday"
"Dallas","sports_bar","food",4,"Friday"
"Dallas","indian_restaurant","food",5,"Friday"
"Detroit","bar","food",1,"Friday"
"Detroit","american_restaurant","food",2,"Friday"
"Detroit","grocery_store","food",3,"Friday"
"Houston","bar","food",1,"Friday"
"Houston","sports_bar","food",2,"Friday"
"Los Angeles","taiwanese_restaurant","food",1,"Friday"
"Los Angeles","korean_restaurant","food",2,"Friday"
"Los Angeles","chinese_restaurant","food",3,"Friday"
"Los Angeles","health_food_store","food",4,"Friday"
"Miami","bar","food",1,"Friday"
"Minneapolis","brewery","food",1,"Friday"
"Minneapolis","supermarket","food",2,"Friday"
"New York","chinese_restaurant","food",1,"Friday"
"New York","ramen_restaurant","food",2,"Friday"
"New York","bakery","food",3,"Friday"
"New York","gourmet_grocery_store","food",4,"Friday"
"New York","japanese_restaurant","food",5,"Friday"
"Orlando","supermarket","food",1,"Friday"
"Orlando","american_restaurant","food",2,"Friday"
"Philadelphia","bar","food",1,"Friday"
"Philadelphia","american_restaurant","food",2,"Friday"
