"gcid","metro","hourNumber","scaled"
"grocery_store","Atlanta",1,6.7
"grocery_store","Atlanta",2,3.3
"grocery_store","Atlanta",3,1.2
"grocery_store","Atlanta",4,0.9
"grocery_store","Atlanta",5,1.9
"grocery_store","Atlanta",6,2.2
"grocery_store","Atlanta",7,10.5
"grocery_store","Atlanta",8,17.6
"grocery_store","Atlanta",9,28.2
"grocery_store","Atlanta",10,43.3
"grocery_store","Atlanta",11,57.9
"grocery_store","Atlanta",12,69.6
"grocery_store","Atlanta",13,79.5
"grocery_store","Atlanta",14,86.3
"grocery_store","Atlanta",15,83.9
"grocery_store","Atlanta",16,100
"grocery_store","Atlanta",17,92.3
"grocery_store","Atlanta",18,90.8
"grocery_store","Atlanta",19,78
"grocery_store","Atlanta",20,58.1
"grocery_store","Atlanta",21,47.9
"grocery_store","Atlanta",22,35.5
"grocery_store","Atlanta",23,23.8
"grocery_store","Atlanta",24,22.4
"grocery_store","Atlanta",25,14.4
"grocery_store","Atlanta",26,8.4
"grocery_store","Atlanta",27,4.3
"grocery_store","Atlanta",28,0.9
"grocery_store","Atlanta",29,1.9
"grocery_store","Atlanta",30,4.3
"grocery_store","Atlanta",31,9.8
"grocery_store","Atlanta",32,20.6
"grocery_store","Atlanta",33,38.6
"grocery_store","Atlanta",34,51.2
"grocery_store","Atlanta",35,67.1
"grocery_store","Atlanta",36,76.7
"grocery_store","Atlanta",37,79.8
"grocery_store","Atlanta",38,70.1
"grocery_store","Atlanta",39,63.5
"grocery_store","Atlanta",40,50.3
"grocery_store","Atlanta",41,38.3
"grocery_store","Atlanta",42,34.3
"grocery_store","Atlanta",43,22
"grocery_store","Atlanta",44,19.3
"grocery_store","Atlanta",45,14.8
"grocery_store","Atlanta",46,15
"grocery_store","Atlanta",47,8.4
"grocery_store","Atlanta",48,5.3
"grocery_store","Atlanta",49,4
"grocery_store","Atlanta",50,1.7
"grocery_store","Atlanta",51,0.3
"grocery_store","Atlanta",52,0
"grocery_store","Atlanta",53,0.3
"grocery_store","Atlanta",54,0.6
"grocery_store","Atlanta",55,3.6
"grocery_store","Atlanta",56,7.8
"grocery_store","Atlanta",57,14
"grocery_store","Atlanta",58,16.9
"grocery_store","Atlanta",59,24.4
"grocery_store","Atlanta",60,31.5
"grocery_store","Atlanta",61,36.4
"grocery_store","Atlanta",62,43.4
"grocery_store","Atlanta",63,41.2
"grocery_store","Atlanta",64,43.8
"grocery_store","Atlanta",65,40.4
"grocery_store","Atlanta",66,39.7
"grocery_store","Atlanta",67,36.4
"grocery_store","Atlanta",68,29
"grocery_store","Atlanta",69,22.3
"grocery_store","Atlanta",70,14.8
"grocery_store","Atlanta",71,8.7
"grocery_store","Atlanta",72,8.9
"liquor_store","Atlanta",1,1.6
"liquor_store","Atlanta",2,0.9
"liquor_store","Atlanta",3,0.7
"liquor_store","Atlanta",4,0.5
"liquor_store","Atlanta",5,0
"liquor_store","Atlanta",6,0.4
"liquor_store","Atlanta",7,1.7
"liquor_store","Atlanta",8,2.5
"liquor_store","Atlanta",9,7.6
"liquor_store","Atlanta",10,11.7
"liquor_store","Atlanta",11,16.6
"liquor_store","Atlanta",12,26.2
"liquor_store","Atlanta",13,37.4
"liquor_store","Atlanta",14,53.2
"liquor_store","Atlanta",15,51.4
"liquor_store","Atlanta",16,62.8
"liquor_store","Atlanta",17,73.3
"liquor_store","Atlanta",18,82.9
"liquor_store","Atlanta",19,76.8
"liquor_store","Atlanta",20,73.9
"liquor_store","Atlanta",21,63.3
"liquor_store","Atlanta",22,61
"liquor_store","Atlanta",23,54.1
"liquor_store","Atlanta",24,26.2
"liquor_store","Atlanta",25,2.2
"liquor_store","Atlanta",26,1.7
"liquor_store","Atlanta",27,0.9
"liquor_store","Atlanta",28,0.1
"liquor_store","Atlanta",29,0.5
"liquor_store","Atlanta",30,0.9
"liquor_store","Atlanta",31,0.9
"liquor_store","Atlanta",32,1.7
"liquor_store","Atlanta",33,6.5
"liquor_store","Atlanta",34,20.7
"liquor_store","Atlanta",35,38.9
"liquor_store","Atlanta",36,53.2
"liquor_store","Atlanta",37,75.2
"liquor_store","Atlanta",38,82.2
"liquor_store","Atlanta",39,100
"liquor_store","Atlanta",40,97.4
"liquor_store","Atlanta",41,88
"liquor_store","Atlanta",42,82.5
"liquor_store","Atlanta",43,71.9
"liquor_store","Atlanta",44,62.1
"liquor_store","Atlanta",45,59.2
"liquor_store","Atlanta",46,47.6
"liquor_store","Atlanta",47,37.4
"liquor_store","Atlanta",48,11.3
"liquor_store","Atlanta",49,3.5
"liquor_store","Atlanta",50,1.1
"liquor_store","Atlanta",51,0.6
"liquor_store","Atlanta",52,0.5
"liquor_store","Atlanta",53,0.4
"liquor_store","Atlanta",54,0.4
"liquor_store","Atlanta",55,2
"liquor_store","Atlanta",56,5.4
"liquor_store","Atlanta",57,10.1
"liquor_store","Atlanta",58,14.2
"liquor_store","Atlanta",59,16
"liquor_store","Atlanta",60,24.8
"liquor_store","Atlanta",61,27.3
"liquor_store","Atlanta",62,29.2
"liquor_store","Atlanta",63,26.9
"liquor_store","Atlanta",64,27.1
"liquor_store","Atlanta",65,38
"liquor_store","Atlanta",66,50.9
"liquor_store","Atlanta",67,54
"liquor_store","Atlanta",68,46.1
"liquor_store","Atlanta",69,44.5
"liquor_store","Atlanta",70,46
"liquor_store","Atlanta",71,42
"liquor_store","Atlanta",72,36.9
"barbecue_restaurant","Austin",1,3.5
"barbecue_restaurant","Austin",2,2.5
"barbecue_restaurant","Austin",3,1.9
"barbecue_restaurant","Austin",4,0.8
"barbecue_restaurant","Austin",5,1.5
"barbecue_restaurant","Austin",6,1.9
"barbecue_restaurant","Austin",7,6.9
"barbecue_restaurant","Austin",8,18
"barbecue_restaurant","Austin",9,17.1
"barbecue_restaurant","Austin",10,31.5
"barbecue_restaurant","Austin",11,57.6
"barbecue_restaurant","Austin",12,84.8
"barbecue_restaurant","Austin",13,100
"barbecue_restaurant","Austin",14,88.1
"barbecue_restaurant","Austin",15,64.3
"barbecue_restaurant","Austin",16,64.5
"barbecue_restaurant","Austin",17,71.4
"barbecue_restaurant","Austin",18,73.3
"barbecue_restaurant","Austin",19,69.5
"barbecue_restaurant","Austin",20,41.8
"barbecue_restaurant","Austin",21,30.3
"barbecue_restaurant","Austin",22,9.4
"barbecue_restaurant","Austin",23,5.8
"barbecue_restaurant","Austin",24,0.8
"barbecue_restaurant","Austin",25,0.4
"barbecue_restaurant","Austin",26,1
"barbecue_restaurant","Austin",27,0
"barbecue_restaurant","Austin",28,0.4
"barbecue_restaurant","Austin",29,0.6
"barbecue_restaurant","Austin",30,1.5
"barbecue_restaurant","Austin",31,4.4
"barbecue_restaurant","Austin",32,10.6
"barbecue_restaurant","Austin",33,5.2
"barbecue_restaurant","Austin",34,8.4
"barbecue_restaurant","Austin",35,12.9
"barbecue_restaurant","Austin",36,12.9
"barbecue_restaurant","Austin",37,20
"barbecue_restaurant","Austin",38,11.7
"barbecue_restaurant","Austin",39,8.1
"barbecue_restaurant","Austin",40,8.8
"barbecue_restaurant","Austin",41,7.1
"barbecue_restaurant","Austin",42,5.4
"barbecue_restaurant","Austin",43,15.7
"barbecue_restaurant","Austin",44,11.7
"barbecue_restaurant","Austin",45,8.1
"barbecue_restaurant","Austin",46,4
"barbecue_restaurant","Austin",47,1.9
"barbecue_restaurant","Austin",48,7.1
"barbecue_restaurant","Austin",49,0.4
"barbecue_restaurant","Austin",50,0.8
"barbecue_restaurant","Austin",51,0
"barbecue_restaurant","Austin",52,0.2
"barbecue_restaurant","Austin",53,0.4
"barbecue_restaurant","Austin",54,2.7
"barbecue_restaurant","Austin",55,3.1
"barbecue_restaurant","Austin",56,5
"barbecue_restaurant","Austin",57,12.1
"barbecue_restaurant","Austin",58,17.3
"barbecue_restaurant","Austin",59,33
"barbecue_restaurant","Austin",60,55.1
"barbecue_restaurant","Austin",61,72.9
"barbecue_restaurant","Austin",62,53.4
"barbecue_restaurant","Austin",63,44.3
"barbecue_restaurant","Austin",64,44.9
"barbecue_restaurant","Austin",65,46.6
"barbecue_restaurant","Austin",66,63.5
"barbecue_restaurant","Austin",67,82.9
"barbecue_restaurant","Austin",68,40.1
"barbecue_restaurant","Austin",69,20.7
"barbecue_restaurant","Austin",70,19.6
"barbecue_restaurant","Austin",71,10.4
"barbecue_restaurant","Austin",72,1.9
"bakery","Baltimore",1,2.4
"bakery","Baltimore",2,1.7
"bakery","Baltimore",3,0.7
"bakery","Baltimore",4,0.6
"bakery","Baltimore",5,1.5
"bakery","Baltimore",6,4.3
"bakery","Baltimore",7,10.2
"bakery","Baltimore",8,27.4
"bakery","Baltimore",9,43.1
"bakery","Baltimore",10,48.1
"bakery","Baltimore",11,72.6
"bakery","Baltimore",12,85.2
"bakery","Baltimore",13,80
"bakery","Baltimore",14,83.7
"bakery","Baltimore",15,98
"bakery","Baltimore",16,100
"bakery","Baltimore",17,79.3
"bakery","Baltimore",18,63.3
"bakery","Baltimore",19,56.9
"bakery","Baltimore",20,32.4
"bakery","Baltimore",21,24.8
"bakery","Baltimore",22,17.6
"bakery","Baltimore",23,9.1
"bakery","Baltimore",24,5.6
"bakery","Baltimore",25,2
"bakery","Baltimore",26,1.5
"bakery","Baltimore",27,1.3
"bakery","Baltimore",28,0.6
"bakery","Baltimore",29,1.9
"bakery","Baltimore",30,6.1
"bakery","Baltimore",31,5.6
"bakery","Baltimore",32,10.9
"bakery","Baltimore",33,23
"bakery","Baltimore",34,30.2
"bakery","Baltimore",35,36.9
"bakery","Baltimore",36,43
"bakery","Baltimore",37,36.3
"bakery","Baltimore",38,33.9
"bakery","Baltimore",39,27.6
"bakery","Baltimore",40,31.1
"bakery","Baltimore",41,22
"bakery","Baltimore",42,19.1
"bakery","Baltimore",43,15.6
"bakery","Baltimore",44,11.5
"bakery","Baltimore",45,14.3
"bakery","Baltimore",46,11.1
"bakery","Baltimore",47,8.3
"bakery","Baltimore",48,3.7
"bakery","Baltimore",49,2.2
"bakery","Baltimore",50,0.7
"bakery","Baltimore",51,1.7
"bakery","Baltimore",52,0
"bakery","Baltimore",53,0.7
"bakery","Baltimore",54,2.4
"bakery","Baltimore",55,2.8
"bakery","Baltimore",56,8.9
"bakery","Baltimore",57,16.3
"bakery","Baltimore",58,24.6
"bakery","Baltimore",59,30.9
"bakery","Baltimore",60,36.9
"bakery","Baltimore",61,40.9
"bakery","Baltimore",62,50.7
"bakery","Baltimore",63,56.3
"bakery","Baltimore",64,47.4
"bakery","Baltimore",65,45.6
"bakery","Baltimore",66,37.2
"bakery","Baltimore",67,33.3
"bakery","Baltimore",68,20.9
"bakery","Baltimore",69,22.6
"bakery","Baltimore",70,16.5
"bakery","Baltimore",71,9.8
"bakery","Baltimore",72,10.2
"chinese_restaurant","Baltimore",1,0.7
"chinese_restaurant","Baltimore",2,1.5
"chinese_restaurant","Baltimore",3,0.3
"chinese_restaurant","Baltimore",4,0.6
"chinese_restaurant","Baltimore",5,0
"chinese_restaurant","Baltimore",6,0.4
"chinese_restaurant","Baltimore",7,1.3
"chinese_restaurant","Baltimore",8,4.1
"chinese_restaurant","Baltimore",9,2.8
"chinese_restaurant","Baltimore",10,8.7
"chinese_restaurant","Baltimore",11,23.7
"chinese_restaurant","Baltimore",12,50.7
"chinese_restaurant","Baltimore",13,66.7
"chinese_restaurant","Baltimore",14,50.4
"chinese_restaurant","Baltimore",15,42.4
"chinese_restaurant","Baltimore",16,38.2
"chinese_restaurant","Baltimore",17,67.9
"chinese_restaurant","Baltimore",18,100
"chinese_restaurant","Baltimore",19,86.3
"chinese_restaurant","Baltimore",20,62.5
"chinese_restaurant","Baltimore",21,32.7
