"Day","Hour","Metro","scaled"
3,0,"Dallas",3.7
3,1,"Dallas",1.1
3,2,"Dallas",0
3,3,"Dallas",0.1
3,4,"Dallas",2.4
3,5,"Dallas",10.7
3,6,"Dallas",39.2
3,7,"Dallas",67.2
3,8,"Dallas",66.3
3,9,"Dallas",65.2
3,10,"Dallas",61.9
3,11,"Dallas",68
3,12,"Dallas",75.4
3,13,"Dallas",78.3
3,14,"Dallas",84.2
3,15,"Dallas",100
3,16,"Dallas",99.5
3,17,"Dallas",83.8
3,18,"Dallas",74.4
3,19,"Dallas",52.7
3,20,"Dallas",39.7
3,21,"Dallas",31.6
3,22,"Dallas",23.1
3,23,"Dallas",14.3
4,0,"Dallas",12.6
4,1,"Dallas",5.7
4,2,"Dallas",3
4,3,"Dallas",0
4,4,"Dallas",0.2
4,5,"Dallas",2.9
4,6,"Dallas",12.4
4,7,"Dallas",28
4,8,"Dallas",38.9
4,9,"Dallas",58.7
4,10,"Dallas",71.6
4,11,"Dallas",94
4,12,"Dallas",100
4,13,"Dallas",88.4
4,14,"Dallas",78.9
4,15,"Dallas",81.2
4,16,"Dallas",74
4,17,"Dallas",75.4
4,18,"Dallas",70.8
4,19,"Dallas",81.5
4,20,"Dallas",65.8
4,21,"Dallas",46.6
4,22,"Dallas",33.9
4,23,"Dallas",21.3
5,0,"Dallas",10.4
5,1,"Dallas",4.5
5,2,"Dallas",1.8
5,3,"Dallas",0
5,4,"Dallas",0.9
5,5,"Dallas",6.4
5,6,"Dallas",20.2
5,7,"Dallas",37.1
5,8,"Dallas",48.4
5,9,"Dallas",62.2
5,10,"Dallas",66.4
5,11,"Dallas",77.9
5,12,"Dallas",84.6
5,13,"Dallas",87.4
5,14,"Dallas",88.8
5,15,"Dallas",100
5,16,"Dallas",98.2
5,17,"Dallas",86
5,18,"Dallas",85.9
5,19,"Dallas",62.5
5,20,"Dallas",46.7
5,21,"Dallas",40.6
5,22,"Dallas",34.1
5,23,"Dallas",22
6,0,"Dallas",11.2
6,1,"Dallas",5.5
6,2,"Dallas",3.9
6,3,"Dallas",0.4
6,4,"Dallas",0
6,5,"Dallas",3.3
6,6,"Dallas",12.5
6,7,"Dallas",27.6
6,8,"Dallas",42.9
6,9,"Dallas",60.4
6,10,"Dallas",66.1
6,11,"Dallas",78
6,12,"Dallas",86.1
6,13,"Dallas",88.6
6,14,"Dallas",87.2
6,15,"Dallas",99.6
6,16,"Dallas",100
6,17,"Dallas",92
6,18,"Dallas",94.8
6,19,"Dallas",67.8
6,20,"Dallas",51
6,21,"Dallas",40.9
6,22,"Dallas",32.7
6,23,"Dallas",23.2
7,0,"Dallas",15.4
7,1,"Dallas",8.3
7,2,"Dallas",6.3
7,3,"Dallas",1.2
7,4,"Dallas",0
7,5,"Dallas",2
7,6,"Dallas",8.1
7,7,"Dallas",17.7
7,8,"Dallas",31.7
7,9,"Dallas",49.9
7,10,"Dallas",53.1
7,11,"Dallas",65.7
7,12,"Dallas",80.1
7,13,"Dallas",87.8
7,14,"Dallas",89.7
7,15,"Dallas",100
7,16,"Dallas",94.9
7,17,"Dallas",79.3
7,18,"Dallas",71.8
7,19,"Dallas",50.3
7,20,"Dallas",35.9
7,21,"Dallas",25.3
7,22,"Dallas",16
7,23,"Dallas",8.9
3,0,"Portland",3.3
3,1,"Portland",1
3,2,"Portland",0
3,3,"Portland",0.9
3,4,"Portland",3.7
3,5,"Portland",10.7
3,6,"Portland",40.4
3,7,"Portland",74.9
3,8,"Portland",71
3,9,"Portland",66.9
3,10,"Portland",62.6
